label,timestamp,rgb_source_topic,calibration_used,median_filter_applied,openpose_conf_threshold,num_2d_peaks_detected_raw,num_2d_peaks_above_conf,num_3d_points_initial,num_3d_points_final,x0_rel,y0_rel,z0_rel,x1_rel,y1_rel,z1_rel,x2_rel,y2_rel,z2_rel,x3_rel,y3_rel,z3_rel,x4_rel,y4_rel,z4_rel,x5_rel,y5_rel,z5_rel,x6_rel,y6_rel,z6_rel,x7_rel,y7_rel,z7_rel,x8_rel,y8_rel,z8_rel,x9_rel,y9_rel,z9_rel,x10_rel,y10_rel,z10_rel,x11_rel,y11_rel,z11_rel,x12_rel,y12_rel,z12_rel,x13_rel,y13_rel,z13_rel,x14_rel,y14_rel,z14_rel,x15_rel,y15_rel,z15_rel,x16_rel,y16_rel,z16_rel,x17_rel,y17_rel,z17_rel,x18_rel,y18_rel,z18_rel,x19_rel,y19_rel,z19_rel,x20_rel,y20_rel,z20_rel
basic,2025-05-23T18:28:38.207451,/camera/rgb/image_rect_color,False,True,-1.0,21,21,20,20,0.000000,0.000000,0.000000,0.015692,-0.026481,0.013000,,,,0.069564,-0.054236,0.000000,0.090540,-0.063843,0.007000,0.067132,-0.053235,0.001000,0.098755,-0.061391,0.013000,0.105936,-0.058508,0.017000,0.099979,-0.055194,0.012000,0.077045,-0.033159,-0.007000,0.104750,-0.036407,0.015000,0.096528,-0.030316,0.006000,0.084039,-0.026165,-0.007000,0.078210,-0.012176,-0.007000,0.101145,-0.013350,0.014000,0.093239,-0.010283,-0.003000,0.081708,-0.007513,-0.007000,0.077930,0.007236,-0.002000,0.092925,0.008892,0.007000,0.089608,0.009432,0.000000,0.082630,0.009587,-0.002000
basic,2025-05-16T20:02:57.490348,/camera/rgb/image_rect_color,False,True,-1.0,21,21,21,21,0.000000,0.000000,0.000000,-0.033183,-0.023110,-0.002000,-0.057897,-0.042882,-0.002000,-0.099073,-0.038268,0.013000,-0.114386,-0.030060,0.027000,-0.076104,-0.036231,-0.005000,-0.107514,-0.036731,0.020000,-0.104135,-0.033352,0.020000,-0.085874,-0.028074,0.000000,-0.077746,-0.006677,-0.005000,-0.112583,-0.011389,0.020000,-0.105778,-0.009772,0.013000,-0.114305,-0.013065,0.022000,-0.071378,0.009542,-0.011000,-0.102426,0.015370,0.013000,-0.099078,0.011842,0.008000,-0.109172,0.013843,0.017000,-0.064610,0.029445,-0.005000,-0.077334,0.035361,0.011000,-0.085550,0.037608,0.020000,-0.090577,0.039560,0.024000
basic,2025-05-16T20:03:08.470380,/camera/rgb/image_rect_color,False,True,-1.0,21,21,19,19,0.000000,0.000000,0.000000,-0.030616,0.011650,-0.005000,-0.063853,0.018124,0.004000,-0.084628,0.031430,0.011000,,,,-0.072447,-0.001285,-0.011000,-0.090183,0.021429,0.006000,-0.102615,0.024674,0.034000,,,,-0.074568,-0.027947,-0.002000,-0.110872,-0.006366,0.038000,-0.114019,0.007819,0.020000,-0.108018,0.017841,0.031000,-0.075217,-0.043423,0.006000,-0.115400,-0.031303,0.024000,-0.116345,-0.016514,0.034000,-0.112359,-0.003018,0.041000,-0.071781,-0.056383,0.020000,-0.108734,-0.049885,0.043000,-0.113308,-0.036751,0.029000,-0.108781,-0.027785,0.022000
basic,2025-05-16T20:03:17.202569,/camera/rgb/image_rect_color,False,True,-1.0,21,21,20,20,0.000000,0.000000,0.000000,-0.023449,0.019953,-0.011000,-0.045266,0.037854,-0.015000,-0.057248,0.061244,0.004000,-0.057409,0.073391,0.015000,-0.059319,0.028106,-0.011000,-0.063486,0.056739,0.020000,,,,-0.065118,0.069166,0.034000,-0.074314,0.009909,0.000000,-0.092208,0.046602,0.020000,-0.089329,0.056591,0.015000,-0.081695,0.056385,0.008000,-0.082133,-0.003459,0.004000,-0.106149,0.029691,0.036000,-0.103454,0.038214,0.027000,-0.093897,0.041533,0.020000,-0.087139,-0.017600,0.020000,-0.114610,0.005556,0.038000,-0.117729,0.015818,0.043000,-0.056149,0.057800,0.000000
basic,2025-05-16T20:03:21.471450,/camera/rgb/image_rect_color,False,True,-1.0,21,21,20,20,0.000000,0.000000,0.000000,-0.019069,0.024554,-0.006000,-0.041266,0.043915,-0.013000,-0.060146,0.056009,0.015000,,,,-0.058562,0.037503,-0.010000,-0.091929,0.050972,0.013000,-0.073777,0.045724,-0.002000,-0.072147,0.042463,-0.002000,-0.068628,0.018163,-0.013000,-0.108820,0.031060,0.009000,-0.092966,0.029415,0.002000,-0.085398,0.022914,-0.004000,-0.078285,-0.001151,-0.013000,-0.110551,0.014148,0.031000,-0.102813,0.007606,0.022000,-0.089690,0.001568,0.002000,-0.082575,-0.020766,-0.008000,-0.113913,-0.010132,0.007000,-0.110618,-0.013428,0.007000,-0.093154,-0.019611,0.000000
basic,2025-05-16T20:03:47.441047,/camera/rgb/image_rect_color,False,True,-1.0,21,21,18,18,0.000000,0.000000,0.000000,-0.027378,0.024428,-0.021000,-0.054352,0.043168,-0.006000,-0.077595,0.051418,0.005000,-0.100695,0.038691,-0.002000,-0.041192,0.025798,-0.028000,-0.071329,0.049664,0.001000,-0.094297,0.041550,-0.008000,,,,-0.042749,0.009331,-0.030000,-0.083419,0.024554,-0.014000,-0.099795,0.019871,-0.023000,,,,-0.047229,-0.008589,-0.030000,-0.087493,0.004865,-0.032000,-0.099581,-0.002648,-0.028000,,,,-0.051781,-0.024836,-0.034000,-0.085824,-0.020184,-0.039000,-0.101212,-0.017725,-0.025000,-0.112477,-0.022292,0.015000
basic,2025-05-16T20:05:09.053168,/camera/rgb/image_rect_color,False,True,-1.0,21,21,18,18,0.000000,0.000000,0.000000,-0.030611,0.016966,-0.012000,-0.057193,0.027633,-0.017000,-0.087152,0.035055,0.004000,,,,-0.074257,-0.039069,-0.016000,-0.112709,-0.038166,0.006000,-0.114752,-0.030354,0.014000,-0.096343,-0.025240,-0.006000,-0.075799,-0.003376,-0.017000,-0.112383,0.015829,0.000000,-0.109116,-0.000032,-0.002000,-0.109015,-0.007941,-0.004000,-0.077325,-0.020414,-0.019000,-0.041657,0.015265,-0.016000,-0.093074,0.010785,-0.010000,,,,0.001583,-0.004749,0.000000,-0.052542,0.026083,-0.017000,-0.085562,0.036646,0.004000,,,
basic,2025-05-16T20:05:13.577372,/camera/rgb/image_rect_color,False,True,-1.0,21,21,18,18,0.000000,0.000000,0.000000,-0.022397,0.019683,-0.019000,-0.048983,0.028069,-0.024000,-0.070780,0.037471,-0.017000,,,,-0.044697,0.016276,-0.026000,-0.073716,0.034621,-0.016000,-0.084160,0.036069,0.000000,,,,-0.050687,-0.005719,-0.031000,-0.091240,0.013497,-0.024000,-0.103297,0.017223,-0.012000,,,,-0.057829,-0.025895,-0.028000,-0.099983,-0.012731,-0.024000,-0.112267,-0.004899,-0.010000,-0.116870,-0.000313,-0.007000,-0.063428,-0.041934,-0.017000,-0.098802,-0.039008,-0.014000,-0.113984,-0.030090,-0.005000,-0.116970,-0.025610,-0.005000
basic,2025-05-16T20:05:20.053595,/camera/rgb/image_rect_color,False,True,-1.0,21,21,18,18,0.000000,0.000000,0.000000,-0.018828,0.011382,-0.011000,-0.041840,0.004356,-0.030000,-0.066541,0.020497,-0.028000,,,,-0.044464,-0.012784,-0.021000,-0.065036,0.009459,-0.018000,-0.076940,0.027936,-0.009000,,,,-0.054612,-0.031831,-0.013000,-0.088758,-0.015518,-0.014000,-0.101038,0.013331,-0.004000,-0.099418,0.034094,-0.007000,-0.061947,-0.042284,-0.002000,-0.100915,-0.031780,-0.007000,-0.114390,-0.001837,-0.007000,,,,-0.069498,-0.050089,0.017000,-0.106247,-0.042346,0.011000,-0.118374,-0.027060,0.009000,-0.118498,-0.013249,0.011000
basic,2025-05-16T20:05:37.716495,/camera/rgb/image_rect_color,False,True,-1.0,21,21,20,20,0.000000,0.000000,0.000000,-0.028436,0.016272,-0.010000,-0.060590,-0.036921,-0.017000,-0.097034,-0.030741,0.006000,,,,-0.069498,-0.041481,-0.011000,-0.111136,-0.036948,0.011000,-0.112948,-0.027504,0.019000,-0.096861,-0.024739,-0.008000,-0.071136,-0.012814,-0.017000,-0.115675,-0.012106,0.007000,-0.107888,-0.002832,0.006000,-0.096960,-0.001539,0.000000,-0.069673,-0.026399,-0.019000,-0.104743,0.012552,0.004000,-0.096910,0.012072,-0.004000,-0.084685,-0.012696,-0.013000,-0.060523,0.021986,-0.015000,-0.078491,0.030781,0.000000,-0.084636,0.035752,0.004000,-0.090832,0.039030,0.006000
